contract_id,name,surname,dob,postcode,rent,contract_start,contract_end
1465348858,Charlie,Jones,1980-02-29,W13 9DF,2180,2016-06-08,
1512527932,Megan,Harding,1980-01-01,EC1V0LA,3140,2017-12-06,
1364692954,Laura,Baker,1989-10-14,TW3 1TS,940,2013-03-31,
1359165099,Adam,Richardson,1992-12-07,SE1 8YD,2240,2013-01-26,2015-04-25
1430526767,Mussammed,Carr,1978-06-03,SW159EL,2320,2015-05-02,
1367455061,Amelia,Turner,1985-12-21,W2  6DU,5310,2013-05-02,2017-12-01
1352860391,Gareth,King,1988-06-07,HA7 3AS,2850,2012-11-14,
1356836405,George,Daniels,1970-01-29,W1K 2RF,4390,2012-12-30,
1476055737,Emily,Wilson,1982-03-10,NW8 6EX,4540,2016-10-10,
1412122853,Jake,Begum,1974-10-20,CR2 6NH,1200,2014-10-01,
1425861972,Hannah,Smith,1953-10-28,N17 6SS,1030,2015-03-09,
1375056224,Danny,Evans,1954-04-18,SW162UP,1850,2013-07-29,2016-08-28
1451439818,Mohammed,Ford,1958-10-07,W1H 9DL,4740,2015-12-30,2017-11-29
1483749887,Olaf,Fisher,1958-08-08,EC1M4DN,2950,2017-01-07,
1392513808,James,Duffy,1974-01-20,N1P 1AE,4460,2014-02-16,
1377131629,Elicia,Khan,1993-01-23,EC2A2BG,1430,2013-08-22,
1505000364,Sabrine,Hamilton,1954-05-13,E17 9HZ,1330,2017-09-10,
1402448659,Ellie,Curtis,1966-11-15,WC2B4AW,4530,2014-06-11,
1345853912,Amelia-Mae,Cole,1990-01-04,UB3 1PG,1070,2012-08-25,2015-08-24
1364002452,Jessica,Daniels,1970-08-18,SE1 7NS,3340,2013-03-23,
1459128827,Ella,Pickering,1972-12-13,IG110NT,1210,2016-03-28,
1389747447,Zac,Coleman,1953-09-13,NW2 2DF,4020,2014-01-15,
1441240192,Alfie,Parkin,1979-03-27,NW6 1JL,1780,2015-09-03,
1395370216,Faith,Clarke,1979-01-09,EC3M7HY,3320,2014-03-21,
1362442668,Olivia,Martin,1986-06-26,E13 9WN,1050,2013-03-05,
1507595522,Phoebe,Sharp,1987-10-26,W1A 1GU,4170,2017-10-10,
1384561719,Finlay,Newman,1954-01-28,SE136QN,1260,2013-11-16,2015-09-15
1473038591,Molly,Berry,1963-12-19,W2  1XD,2030,2016-09-05,
1331345618,Jaxon,Allen,1968-10-18,EC2P2DE,3200,2012-03-10,2017-04-09
1349825581,Dominika,Dennis,1954-10-14,W1D 6BL,4780,2012-10-10,
1511319059,Zayan,Mason,1991-12-10,HA4 6PH,1450,2017-11-22,
1482892304,Katie,Griffiths,1992-06-24,WC1H8HU,1560,2016-12-28,2017-05-27
1341107480,Tamzin,Whittaker,1966-07-07,SE1 5UR,1250,2012-07-01,
1414628704,Melissa,Hughes,1991-03-02,EN3 4WB,940,2014-10-30,
1381021297,Harry,Brown,1950-08-11,TW7 6PX,1800,2013-10-06,
1416532747,Kyan,Mills,1982-06-23,CR3 1AN,2030,2014-11-21,
1468107510,Jayden,Dixon,1956-06-18,SW152FY,2140,2016-07-10,
1420252889,Winter,Evans,1986-11-03,W1V 3AW,4920,2015-01-03,
1394069659,Elle,Scott,1983-10-20,UB2 4EZ,1460,2014-03-06,
1402279322,Erin,Howarth,1966-10-27,W1T 5EL,2890,2014-06-09,
1488250689,William,Blackburn,1988-12-19,E1W 1UJ,2640,2017-02-28,
1399590569,Luca,Jones,1957-10-16,E1  2NG,1320,2014-05-09,
